Format Version,1.21,Take Name,Take 2021-04-13 07.22.24 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-13 07.22.24 PM,Total Frames in Take,22555,Total Exported Frames,22555,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:5000,Unlabeled:5000,Unlabeled:5000,Unlabeled:5001,Unlabeled:5001,Unlabeled:5001,Unlabeled:5002,Unlabeled:5002,Unlabeled:5002,Unlabeled:5003,Unlabeled:5003,Unlabeled:5003
,,"8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701388","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E35701389","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138A","8392B20CF49E3570138B","8392B20CF49E3570138B","8392B20CF49E3570138B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
109,0.908333,0.039988,-0.001602,0.037860,0.078187,-0.052818,0.044398,0.086153,-0.026877,0.002535,0.030862,-0.061237,0.060470
110,0.916667,0.039984,-0.001608,0.037883,0.078191,-0.052816,0.044369,0.086150,-0.026879,0.002545,0.030856,-0.061241,0.060495
111,0.925000,0.039981,-0.001609,0.037899,0.078196,-0.052820,0.044357,0.086155,-0.026878,0.002543,0.030856,-0.061237,0.060493
112,0.933333,0.039981,-0.001609,0.037899,0.078196,-0.052820,0.044357,0.086155,-0.026878,0.002543,0.030856,-0.061237,0.060493
113,0.941667,0.039984,-0.001604,0.037882,0.078191,-0.052817,0.044370,0.086152,-0.026881,0.002536,0.030861,-0.061236,0.060478
114,0.950000,0.039987,-0.001602,0.037859,0.078192,-0.052817,0.044371,0.086146,-0.026880,0.002577,0.030853,-0.061228,0.060396
115,0.958333,0.039986,-0.001602,0.037873,0.078196,-0.052818,0.044356,0.086150,-0.026881,0.002560,0.030853,-0.061224,0.060392
116,0.966667,0.039986,-0.001602,0.037873,0.078196,-0.052818,0.044356,0.086150,-0.026881,0.002560,0.030853,-0.061224,0.060392
117,0.975000,0.039987,-0.001606,0.037868,0.078193,-0.052821,0.044361,0.086145,-0.026884,0.002557,0.030861,-0.061236,0.060453
118,0.983333,0.039983,-0.001604,0.037887,0.078187,-0.052815,0.044394,0.086155,-0.026876,0.002522,0.030861,-0.061233,0.060466
119,0.991667,0.039983,-0.001604,0.037887,0.078187,-0.052815,0.044394,0.086155,-0.026876,0.002522,0.030861,-0.061233,0.060466
120,1.000000,0.039985,-0.001604,0.037871,0.078194,-0.052819,0.044363,0.086156,-0.026879,0.002538,0.030859,-0.061235,0.060463
121,1.008333,0.039986,-0.001604,0.037876,0.078198,-0.052818,0.044337,0.086158,-0.026875,0.002520,0.030860,-0.061237,0.060470
